Dataset,AUPRC_mean,AUPRC_std,AUROC_mean,AUROC_std,F1_mean,F1_std,Prec@K_mean,Prec@K_std
Credit Card Fraud,0.7017262697960002,0.06943259699682654,0.9430658324334462,0.018056115725033215,0.773392537609184,0.04806510360753006,0.7702702702702703,0.03310121274031323
IEEE-CIS,0.41064842256527906,0.005181561030356061,0.8272989038582947,0.0064148521608785114,0.42323633167277264,0.0032354123577016934,0.4109824813415358,0.0027421875838582535
PaySim,0.6338182979961855,0.027625190542583958,0.9823119786239081,0.007429992448964364,0.6159869424275982,0.018983770574875942,0.6027597402597402,0.029006247109801004
AIZBank,0.556092131396532,0.011633669497653718,0.902673913956157,0.003886025999964964,0.564369805428605,0.014654679518491434,0.549788610035544,0.011559905614716263
Elliptic (Bitcoin),0.9530516497481486,0.0018519249211652604,0.6502189991918386,0.012520366438017579,0.9486754966887417,0.0,0.899730287164842,0.0010619197544459065
Amazon Reviews,0.8946918200675423,0.019529322300704845,0.9802091705758279,0.005700075214890991,0.8632853960999721,0.01420617871210788,0.8455284552845528,0.022413087401772728
Yelp Reviews,0.653159996787125,0.011056729987433683,0.8855798924892916,0.004245634310187641,0.599725447627014,0.016541057540532037,0.600998003992016,0.015271743922865132
Click Fraud,0.0608772983552074,0.012875698131066217,0.8689582661876724,0.02969303696729155,0.10000182614744316,0.0252251251974648,0.11176470588235295,0.05060191333554486
Social Honeypot,0.9871800839029973,0.0010908912125497047,0.984193585333637,0.0014694706392416072,0.9400424011793896,0.003905310622676866,0.9404740474047404,0.0031214657794515145
Cresci-2017,0.9189977803654799,0.008716561411458178,0.9221846983648776,0.005941151107116857,0.871438069275879,0.018778522242440594,0.8339240506329114,0.01891801690356396
Midterm-2018,0.9998748178747716,1.5890665155982538e-05,0.9993538553015717,7.986592319352653e-05,0.9964988275074157,0.0005509666224288953,0.9962305638448248,0.0004763860809833045
MGTAB,0.8772886475711952,0.01301550344441729,0.95387437692134,0.005362707623662845,0.8183946910164497,0.008290561453899116,0.8101941747572814,0.011630241311369839
