Dataset,AUPRC_mean,AUPRC_std,AUROC_mean,AUROC_std,Prec@K_mean,Prec@K_std
Credit Card Fraud,0.6258474374919155,0.09015875918792508,0.9404983345754309,0.016954704224629108,0.6756756756756757,0.05982687465183421
IEEE-CIS,0.1775024349185589,0.17024187494603119,0.6744158203881468,0.08849917627258834,0.11899030904870458,0.046679482000854526
PaySim,0.27531099796442493,0.06819882429562525,0.8400544588500244,0.011179080112590918,0.29951298701298706,0.0628919653730405
AIZBank,0.20351446026595715,0.014364895755198018,0.6960773157299486,0.016126895556937623,0.20494153820742583,0.011722638360185857
Elliptic (Bitcoin),0.9511811023622048,0.0,0.5,0.0,0.9020466444550215,0.0009229281023162727
Amazon Reviews,0.6193850907445416,0.05670773701528695,0.942592565530209,0.011308535338263929,0.5886178861788618,0.04132769114516696
Yelp Reviews,0.23220267457369595,0.006426000175469754,0.6447935256438921,0.005983254352183114,0.28043912175648705,0.00798403193612774
Click Fraud,0.01335936644286648,0.0020952692554351052,0.8089536282239743,0.0183221658564687,0.023529411764705882,0.011764705882352941
Social Honeypot,0.7880372511143678,0.005603717574025966,0.7915115059223765,0.005426297681449676,0.7378337833783378,0.0046418432897242425
Cresci-2017,0.7156113537117904,0.0,0.5,0.0,0.430379746835443,0.019478869935869714
Midterm-2018,0.6617478243742041,0.004777975778172266,0.056966690635326465,0.022613190993209128,0.8128160829275954,0.0033720714685898275
MGTAB,0.3607166104089194,0.0181165207020511,0.5652552234399153,0.015577048683385112,0.3092233009708738,0.008764791303528072
