Dataset,AUPRC_mean,AUPRC_std,AUROC_mean,AUROC_std,F1_mean,F1_std,Prec@K_mean,Prec@K_std,Best_params
Credit Card Fraud,0.8155708414384971,0.043739733223670425,0.9761268232216459,0.009420822953955757,0.8230732232497436,0.041847680136967026,0.7972972972972973,0.04440993709501349,"{'learning_rate': np.float64(0.1), 'n_estimators': np.int64(400), 'max_depth': np.int64(3), 'reg_lambda': np.float64(10.0), 'subsample': np.float64(1.0), 'colsample_bytree': np.float64(0.6), 'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'tree_method': 'hist', 'scale_pos_weight': np.float64(578.546511627907), 'early_stopping_rounds': 20, 'seed': 42, 'verbosity': 0}"
IEEE-CIS,0.8052082737470379,0.015710423745907212,0.962913546151303,0.0030912254588410203,0.7583747243711838,0.015448453758442842,0.741757507624728,0.015603847462489589,"{'learning_rate': np.float64(0.2), 'n_estimators': np.int64(600), 'max_depth': np.int64(9), 'reg_lambda': np.float64(1.0), 'subsample': np.float64(1.0), 'colsample_bytree': np.float64(1.0), 'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'tree_method': 'hist', 'scale_pos_weight': np.float64(27.5797842920354), 'early_stopping_rounds': 20, 'seed': 42, 'verbosity': 0}"
PaySim,0.9459855937149803,0.01528803743510401,0.9992385117935065,0.0005000569562059483,0.8837697393316569,0.01977196888755715,0.878896103896104,0.02023303059529965,"{'learning_rate': np.float64(0.1), 'n_estimators': np.int64(200), 'max_depth': np.int64(7), 'reg_lambda': np.float64(1.0), 'subsample': np.float64(0.8), 'colsample_bytree': np.float64(1.0), 'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'tree_method': 'hist', 'scale_pos_weight': np.float64(773.7145590537485), 'early_stopping_rounds': 20, 'seed': 42, 'verbosity': 0}"
AIZBank,0.5732600218114545,0.016953433765570056,0.9084085980753628,0.006880684969863253,0.5776464745971979,0.01492319140008479,0.560880627404144,0.014009735441718827,"{'learning_rate': np.float64(0.01), 'n_estimators': np.int64(200), 'max_depth': np.int64(7), 'reg_lambda': np.float64(1.0), 'subsample': np.float64(0.6), 'colsample_bytree': np.float64(0.6), 'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'tree_method': 'hist', 'scale_pos_weight': np.float64(7.548622366288493), 'early_stopping_rounds': 20, 'seed': 42, 'verbosity': 0}"
Elliptic (Bitcoin),0.9996272075735654,7.810383079012876e-05,0.9970183169304938,0.0004900585835291299,0.9949183298929768,0.0009299001181015018,0.9944788196097096,0.0005799037563857401,"{'learning_rate': np.float64(0.05), 'n_estimators': np.int64(400), 'max_depth': np.int64(7), 'reg_lambda': np.float64(1.0), 'subsample': np.float64(1.0), 'colsample_bytree': np.float64(1.0), 'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'tree_method': 'hist', 'scale_pos_weight': np.float64(0.10814945772277565), 'early_stopping_rounds': 20, 'seed': 42, 'verbosity': 0}"
Amazon Reviews,0.9145203748772328,0.02724298044167856,0.9870059964829727,0.004306537876515148,0.867045633534207,0.023171682978523764,0.8617886178861788,0.023563214221446263,"{'learning_rate': np.float64(0.1), 'n_estimators': np.int64(600), 'max_depth': np.int64(3), 'reg_lambda': np.float64(0.1), 'subsample': np.float64(1.0), 'colsample_bytree': np.float64(0.8), 'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'tree_method': 'hist', 'scale_pos_weight': np.float64(13.539130434782608), 'early_stopping_rounds': 20, 'seed': 42, 'verbosity': 0}"
Yelp Reviews,0.8533459846944702,0.01310615467670231,0.9546569115672252,0.004916692962239517,0.7678794220378694,0.013277619152596324,0.7704590818363274,0.013552291574265844,"{'learning_rate': np.float64(0.2), 'n_estimators': np.int64(400), 'max_depth': np.int64(7), 'reg_lambda': np.float64(1.0), 'subsample': np.float64(1.0), 'colsample_bytree': np.float64(0.6), 'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'tree_method': 'hist', 'scale_pos_weight': np.float64(5.882113821138211), 'early_stopping_rounds': 20, 'seed': 42, 'verbosity': 0}"
Click Fraud,0.30729865950615065,0.023403433401516717,0.9458482363946514,0.01904422807432834,0.32735201187495344,0.05822303997010683,0.3235294117647059,0.032218973970892135,"{'learning_rate': np.float64(0.3), 'n_estimators': np.int64(800), 'max_depth': np.int64(7), 'reg_lambda': np.float64(0.1), 'subsample': np.float64(1.0), 'colsample_bytree': np.float64(1.0), 'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'tree_method': 'hist', 'scale_pos_weight': np.float64(439.251572327044), 'early_stopping_rounds': 20, 'seed': 42, 'verbosity': 0}"
Social Honeypot,0.9884121186851088,0.0009072981506050747,0.9858203973924363,0.001113992261914866,0.943397945537862,0.003251371615812902,0.9438943894389439,0.0028715238197432867,"{'learning_rate': np.float64(0.2), 'n_estimators': np.int64(200), 'max_depth': np.int64(3), 'reg_lambda': np.float64(1.0), 'subsample': np.float64(0.8), 'colsample_bytree': np.float64(0.6), 'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'tree_method': 'hist', 'scale_pos_weight': np.float64(0.8673823605039856), 'early_stopping_rounds': 20, 'seed': 42, 'verbosity': 0}"
Cresci-2017,0.9992286548763303,0.0006842496687766104,0.9992983308632377,0.0007015897159051152,0.990644705806569,0.0030597444204833054,0.9908860759493671,0.0034340911306963173,"{'learning_rate': np.float64(0.1), 'n_estimators': np.int64(800), 'max_depth': np.int64(7), 'reg_lambda': np.float64(0.1), 'subsample': np.float64(1.0), 'colsample_bytree': np.float64(0.6), 'objective': 'binary:logistic', 'eval_metric': 'aucpr', 'tree_method': 'hist', 'scale_pos_weight': np.float64(1.321021184139055), 'early_stopping_rounds': 20, 'seed': 42, 'verbosity': 0}"
